,word,lemma1,lemma2,Sd15_Cosine,Sd15_CosRev0Score,Glo_Cosine,Glowca_CosRev0Score,location,episode,time,salience_1,salience_2,salience_3,salience_4,salience_13
0,episode,episode,begin,0.517954951155554,0.482045048844446,0.342392639477914,0.657607360522086,Cartoon World,1,1,0,0,0,0,0
1,began,begin,cartoon,0.811909551632956,0.188090448367044,0.18353982229062,0.81646017770938,Cartoon World,1,2,0,0,0,0,0
2,cartoon,cartoon,movie,0.862326021110671,0.137673978889329,0.536739554333414,0.463260445666586,Cartoon World,1,3,0,0,0,0,1
3,movie,movie,theater,0.973177523812425,0.0268224761875753,0.623139495242961,0.376860504757039,Cartoon World,1,4,0,0,0,0,1
4,theater,theater,specifically,0.780623977477284,0.219376022522716,0.263828801088728,0.736171198911272,Cartoon World,1,5,0,0,0,0,1
5,specifically,specifically,people,0.765274632637373,0.234725367362627,0.612455578008536,0.387544421991464,Cartoon World,1,6,0,0,0,0,0
6,people,people,snack,0.663478790869654,0.336521209130346,0.198647850586749,0.801352149413251,Cartoon World,1,7,0,0,0,0,1
7,snacks,snack,lobby,0.459311082308275,0.540688917691725,0.164506445954303,0.835493554045697,Cartoon World,1,8,0,0,0,0,1
8,lobby,lobby,jingle,0.493416660494817,0.506583339505183,0.0278581085256256,0.972141891474374,Cartoon World,1,9,0,0,0,0,1
9,jingle,jingle,everyone,0.604722897123335,0.395277102876665,0.0640721301921741,0.935927869807826,Cartoon World,1,10,0,0,0,0,1
10,everyone,everyone,lobby,0.856510110646449,0.143489889353551,0.382964495257659,0.617035504742341,Cartoon World,1,11,0,0,0,0,0
11,ourselves,ourselves,treat,0.533275366787864,0.466724633212136,0.453779368338112,0.546220631661888,Cartoon World,1,12,0,0,0,0,0
12,treat,treat,sparkle,-0.0996408682802258,1.09964086828023,0.12437216082516,0.87562783917484,Cartoon World,1,13,0,0,0,0,0
13,sparkling,sparkle,drink,0.375833165491896,0.624166834508104,0.157996278299057,0.842003721700943,Cartoon World,1,14,0,0,0,0,0
14,drinks,drink,neat,0.515659038760716,0.484340961239284,0.188891951014393,0.811108048985607,Cartoon World,1,15,0,0,0,0,1
15,neat,neat,chocolate,0.812348708212425,0.187651291787575,0.200952654961495,0.799047345038505,Cartoon World,1,16,0,0,0,0,0
16,chocolate,chocolate,candy,0.987247668923615,0.0127523310763852,0.616851340812124,0.383148659187876,Cartoon World,1,17,0,0,0,0,1
17,candy,candy,bar,0.644871488452371,0.355128511547629,0.447945800269038,0.552054199730962,Cartoon World,1,18,0,0,0,0,1
18,bars,bar,popcorn,0.662018549752136,0.337981450247864,0.234075553692479,0.765924446307521,Cartoon World,1,19,0,0,0,0,1
19,popcorn,popcorn,picture,0.578140433484631,0.421859566515369,0.152911750458939,0.847088249541061,Cartoon World,1,20,0,0,0,0,1
20,picture,picture,popcorn,0.578140433484631,0.421859566515369,0.152911750458939,0.847088249541061,Cartoon World,1,21,0,0,0,0,1
21,started,start,life,0.832767413962494,0.167232586037506,0.64132848079508,0.35867151920492,Cartoon World,1,22,0,0,0,0,0
22,life,life,size,0.64184653144402,0.35815346855598,0.497328778873126,0.502671221126874,Cartoon World,1,23,0,0,0,0,0
23,size,size,version,0.787883422726912,0.212116577273088,0.473341553337245,0.526658446662755,Cartoon World,1,24,0,0,0,0,0
24,versions,version,treat,0.319349178678662,0.680650821321338,0.284688019739989,0.715311980260011,Cartoon World,1,25,0,0,0,0,0
