,word,lemma1,lemma2,Sd15_Cosine,Sd15_CosRev0Score,Glo_Cosine,Glowca_CosRev0Score,location,episode,time,salience_1,salience_2,salience_3,salience_4,salience_13
0,time,time,combat,0.297007509764762,0.702992490235238,0.395473315886821,0.604526684113179,John's Room,3,83,0,0,0,0,0
1,woke,wake,he,0.777216581136904,0.222783418863096,0.535070639943861,0.464929360056139,John's Room,3,84,0,1,0,0,0
2,dreams,dream,shortly,0.418515621356655,0.581484378643345,0.398737546213141,0.601262453786859,John's Room,3,86,0,1,0,1,0
3,room,room,room,1,-2.22044604925031E-16,1,-4.44089209850063E-16,John's Room,3,87,0,0,1,1,0
4,bare,bare,he,0.812669195259497,0.187330804740503,0.399189291763508,0.600810708236492,John's Room,3,89,0,0,0,0,0
5,laying,lay,bed,0.8180604360384,0.1819395639616,0.676724154726871,0.323275845273129,John's Room,3,91,0,0,1,1,1
6,bed,bed,he,0.758720853391389,0.241279146608611,0.582154992133808,0.417845007866192,John's Room,3,92,0,0,1,0,0
7,trouble,trouble,memory,0.0012293559755628,0.998770644024437,0.416188583096432,0.583811416903568,John's Room,3,93,0,0,1,0,0
8,memories,memory,they,0.486593128240283,0.513406871759717,0.45642285185307,0.54357714814693,John's Room,3,94,0,0,1,0,0
9,they,they,bother,0.604354136557278,0.395645863442722,0.532487528009752,0.467512471990248,John's Room,3,95,0,0,0,0,0
10,bothering,bother,him,0.551408071416221,0.448591928583779,0.550180975271866,0.449819024728134,John's Room,3,96,0,0,1,0,0
11,him,him,flash,0.735561601381901,0.264438398618099,0.359288038646433,0.640711961353567,John's Room,3,97,0,0,0,0,0
12,flashes,flash,you,0.62265125348713,0.37734874651287,0.419761179104822,0.580238820895178,John's Room,3,98,0,0,0,0,0
13,clips,clip,jump,0.739605949444668,0.260394050555332,0.343404161283385,0.656595838716615,John's Room,3,99,0,0,0,0,0
14,dark,dark,room,0.398022903451893,0.601977096548107,0.637540880228752,0.362459119771248,John's Room,3,104,0,0,0,1,0
15,tiny,tiny,bed,0.93802964882323,0.0619703511767697,0.51674114376243,0.48325885623757,John's Room,3,106,0,0,0,1,0
16,small,small,desk,0.951410065658006,0.0485899343419941,0.440636058358351,0.559363941641649,John's Room,3,107,0,0,0,0,0
17,desk,desk,leave,0.574729120048854,0.425270879951146,0.461370835217305,0.538629164782695,John's Room,3,108,0,0,0,1,0
18,left,leave,dream,-0.260723105444037,1.26072310544404,0.49807196462884,0.50192803537116,John's Room,3,109,0,0,0,0,0
19,ends,end,he,0.454418654182691,0.545581345817309,0.775127326830425,0.224872673169575,John's Room,3,111,0,0,0,0,0
20,bolts,bolt,upright,0.805282294241245,0.194717705758755,0.518559086271322,0.481440913728678,John's Room,3,112,0,0,0,0,0
21,upright,upright,essentially,0.741915859784982,0.258084140215018,0.228047278085263,0.771952721914737,John's Room,3,113,0,0,0,0,0
22,essentially,essentially,scene,0.774899328091113,0.225100671908887,0.397473403281525,0.602526596718475,John's Room,3,114,0,0,0,0,0
23,focuses,focus,him,0.861160721830289,0.138839278169711,0.510679065345653,0.489320934654347,John's Room,3,116,0,0,0,0,0
24,you,you,his,0.845877241355487,0.154122758644513,0.735100473125701,0.264899526874299,John's Room,3,118,0,0,0,0,0
25,character,character,wake,0.673599655964559,0.326400344035441,0.248810198217537,0.751189801782463,John's Room,3,120,0,0,0,0,0
26,wakes,wake,he,0.777216581136904,0.222783418863096,0.535070639943861,0.464929360056139,John's Room,3,121,0,0,0,0,0
27,sleeping,sleep,he,0.586016524043939,0.413983475956061,0.463219689457161,0.536780310542839,John's Room,3,123,0,0,0,0,1
28,sits,sit,frustrate,0.288949821408678,0.711050178591322,0.0629541004769531,0.937045899523047,John's Room,3,124,0,0,0,0,1
29,frustrated,frustrate,scene,0.192896899403643,0.807103100596357,-0.0579846936273123,1.05798469362731,John's Room,3,125,0,0,0,0,1
30,sitting,sit,bed,0.910527105979192,0.0894728940208083,0.658266034042918,0.341733965957082,John's Room,3,127,0,0,0,0,0
31,morning,morning,sit,0.819222907396953,0.180777092603047,0.589320003718784,0.410679996281216,John's Room,3,129,0,0,0,0,1
32,smiling,smile,his,0.687977361036866,0.312022638963134,0.526641655824526,0.473358344175474,John's Room,3,131,0,0,0,0,0
33,hands,hand,him,0.770850825697147,0.229149174302853,0.791893530564017,0.208106469435983,John's Room,3,132,0,0,0,0,1
34,apple,apple,coffee,0.953028033844587,0.0469719661554125,0.357315205089052,0.642684794910948,John's Room,3,134,0,0,0,0,1
35,coffee,coffee,mug,0.412888560849101,0.587111439150899,0.517300370783294,0.482699629216706,John's Room,3,135,0,0,0,0,1
36,doctor,doctor,sign,0.780187864315948,0.219812135684052,0.399001708976755,0.600998291023245,John's Room,3,136,0,0,0,0,1
37,sign,sign,military,0.829829355697786,0.170170644302214,0.343250183829315,0.656749816170685,John's Room,3,137,0,0,0,0,0
38,military,military,doctor,0.970658846149386,0.0293411538506143,0.263827211829036,0.736172788170964,John's Room,3,138,0,0,0,0,1
39,doctors,doctor,emblem,0.647496748524453,0.352503251475547,0.0120272034990295,0.98797279650097,John's Room,3,139,0,0,0,0,1
40,emblem,emblem,he,0.610554469387818,0.389445530612182,0.161274639078436,0.838725360921564,John's Room,3,140,0,0,0,0,0
41,personal,personal,blog,0.610675282147972,0.389324717852028,0.490974973966982,0.509025026033018,John's Room,3,142,0,0,0,0,0
42,blog,blog,screen,0.756840240712396,0.243159759287604,0.303922436244069,0.696077563755931,John's Room,3,143,0,0,0,0,1
43,screen,screen,empty,0.741356444320664,0.258643555679336,0.424164907243814,0.575835092756186,John's Room,3,144,0,0,0,0,0
44,empty,empty,switch,0.667213380167237,0.332786619832763,0.294833797858761,0.705166202141239,John's Room,3,145,0,0,0,0,0
45,gun,gun,cut,0.854013064953336,0.145986935046664,0.410779583745123,0.589220416254877,John's Room,4,149,1,0,0,1,0
46,cuts,cut,scene,0.540795157236594,0.459204842763406,0.435571355203491,0.564428644796509,John's Room,4,150,0,0,0,0,0
47,sit,sit,he,0.835842949052761,0.164157050947239,0.582284630528431,0.417715369471569,John's Room,4,153,0,0,1,0,0
48,limping,limp,cane,0.839949535513309,0.160050464486691,0.235475998715828,0.764524001284172,John's Room,4,154,0,0,0,0,0
49,cane,cane,his,0.771323464179821,0.228676535820179,0.280812464903397,0.719187535096603,John's Room,4,155,0,0,1,0,1
50,leg,leg,injure,0.572992893051749,0.427007106948251,0.170020382536556,0.829979617463444,John's Room,4,157,0,0,1,0,0
