,Cartoon World,Afghanistan,John's Room,Psychotherapist's Office,London Railway Station,Empty Office Building,London,Press Conference 1,Streets in the Rain,Sports Centre,Party Venue,Police Press Conference Room,Russell Square Park,Russell Square Park on a Bench,St. Bartholomew's Hospital Laboratory
Cartoon World,0.9999999999999994,0.06639331447738758,0.21680401963629817,0.19744097395449894,0.0006216839646106594,0.1797327049445168,0.0,0.28563196486007514,0.1757678027422379,0.08154637471791297,0.10562275634357367,0.27668883555017454,0.333547682279544,0.27877347396354674,0.23956649061301166
Afghanistan,0.06639331447738758,0.9999999999999997,0.3206844229818132,0.22101811978903563,0.1296527006625639,0.17811288731858468,0.23552794337028984,0.2102669268153587,0.3174305541340694,0.15205810541773265,0.26280328029617095,0.27839299037312454,0.3257027627889321,0.2589132151289905,0.35547527419906383
John's Room,0.21680401963629817,0.3206844229818132,0.9999999999999997,0.043030104807840884,0.22219280987281806,0.1426409318019154,0.20230922068622234,0.16401504267915054,0.3012297535988543,0.3226635402451222,0.19034402786631013,0.41287619247870877,0.1598137120610353,0.17831095972024552,0.33487071286728054
Psychotherapist's Office,0.19744097395449894,0.22101811978903563,0.043030104807840884,0.9999999999999994,0.297752390065128,0.4688628096769774,0.2198737344387812,0.2954786236395357,0.14872042107696834,0.028317581718956288,0.22093960841376553,0.3274951910533686,0.2883269865326089,0.2329035805113823,0.13669471622530896
London Railway Station,0.0006216839646106594,0.1296527006625639,0.22219280987281806,0.297752390065128,0.9999999999999994,0.296667634412338,0.6678413576560484,0.10464118416086199,0.29456477426521555,0.2634772534817804,0.22427083110562038,0.14525932481994205,0.2506441327744801,0.23815758921862445,0.1695408065045071
Empty Office Building,0.1797327049445168,0.17811288731858468,0.1426409318019154,0.4688628096769774,0.296667634412338,1.0,0.18871484539130812,0.1068988656002552,0.19655035909003898,0.2281314957143541,0.1591584437185122,0.213827911626993,0.282346383490276,0.24081591455763063,0.1862170402226268
London,0.0,0.23552794337028984,0.20230922068622234,0.2198737344387812,0.6678413576560484,0.18871484539130812,0.9999999999999997,0.13919582326639043,0.1828825560813849,0.23090490911642883,0.14424922650310779,0.1829332480325706,0.24967859259704364,0.23915562169871457,0.16484228259674485
Press Conference 1,0.28563196486007514,0.2102669268153587,0.16401504267915054,0.2954786236395357,0.10464118416086199,0.1068988656002552,0.13919582326639043,0.9999999999999994,0.20377364779382726,0.10752580542221307,0.3329686160383031,0.6653332534450798,0.18190105602197792,0.3073703393612586,0.17812792373327752
Streets in the Rain,0.1757678027422379,0.3174305541340694,0.3012297535988543,0.14872042107696834,0.29456477426521555,0.19655035909003898,0.1828825560813849,0.20377364779382726,0.9999999999999993,0.19272261499700416,0.31046884563817845,0.24567255787079784,0.12454344272810494,0.1937860170655665,0.1306397348229225
Sports Centre,0.08154637471791297,0.15205810541773265,0.3226635402451222,0.028317581718956288,0.2634772534817804,0.2281314957143541,0.23090490911642883,0.10752580542221307,0.19272261499700416,0.9999999999999998,0.23572723774749418,0.07510483772964589,0.19627958634513384,0.21153412044362588,0.2253083359806941
Party Venue,0.10562275634357367,0.26280328029617095,0.19034402786631013,0.22093960841376553,0.22427083110562038,0.1591584437185122,0.14424922650310779,0.3329686160383031,0.31046884563817845,0.23572723774749418,0.9999999999999997,0.2698073704548498,0.10649925289907632,0.12484678876114569,0.15309835630883267
Police Press Conference Room,0.27668883555017454,0.27839299037312454,0.41287619247870877,0.3274951910533686,0.14525932481994205,0.213827911626993,0.1829332480325706,0.6653332534450798,0.24567255787079784,0.07510483772964589,0.2698073704548498,0.9999999999999989,0.2548135200795222,0.3587082426763033,0.22345424041385514
Russell Square Park,0.333547682279544,0.3257027627889321,0.1598137120610353,0.2883269865326089,0.2506441327744801,0.282346383490276,0.24967859259704364,0.18190105602197792,0.12454344272810494,0.19627958634513384,0.10649925289907632,0.2548135200795222,0.9999999999999993,0.757339246049556,0.25334626855579023
Russell Square Park on a Bench,0.27877347396354674,0.2589132151289905,0.17831095972024552,0.2329035805113823,0.23815758921862445,0.24081591455763063,0.23915562169871457,0.3073703393612586,0.1937860170655665,0.21153412044362588,0.12484678876114569,0.3587082426763033,0.757339246049556,0.9999999999999991,0.18358050829270015
St. Bartholomew's Hospital Laboratory,0.23956649061301166,0.35547527419906383,0.33487071286728054,0.13669471622530896,0.1695408065045071,0.1862170402226268,0.16484228259674485,0.17812792373327752,0.1306397348229225,0.2253083359806941,0.15309835630883267,0.22345424041385514,0.25334626855579023,0.18358050829270015,0.9999999999999993
