,word,location,episode,time
0,terrorist,factory,1,10
1,abuses,park,1,11
2,enforcement,apartment,1,12
3,violent,hospital,1,13
4,alleged,neighborhood,1,14
5,animals,zoo,2,15
6,bird,forest,2,16
7,human,city,2,17
8,dogs,park,2,18
9,pet,apartment,2,19
10,terror,station,3,20
11,fraud,warehouse,3,21
12,involvement,apartment,3,22
13,murders,factory,3,23
14,offenses,garden,3,24
15,pig,neighborhood,4,25
16,feeding,garden,4,26
17,fish,river,4,27
18,insect,woods,4,28
19,humans,city,4,29
20,responsible,building,5,30
21,trafficking,warehouse,5,31
22,criminals,factory,5,32
23,terrorism,hospital,5,33
24,corruption,park,5,34
25,cow,garden,6,35
26,birds,forest,6,36
27,livestock,zoo,6,37
28,eating,city,6,38
29,breeding,park,6,39
30,terrorist,apartment,7,40
31,abuses,neighborhood,7,41
32,enforcement,factory,7,42
33,violent,station,7,43
34,alleged,warehouse,7,44
35,wildlife,river,8,45
36,disease,hospital,8,46
37,food,garden,8,47
38,infected,city,8,48
39,rats,park,8,49
45,sheep,garden,10,55
46,whale,forest,10,56
47,mammals,zoo,10,57
48,cat,city,10,58
49,cats,park,10,59
